Model,Procedure,DDFile,LowerBound1,LowerBound5,SectorFile
AUT 3.1,AUT31,,,,
AUT 3.2,AUT31,,,,
BEL 3.1,BEL31,,,,
INT BNK 4.0,IntBank40,,,,
CAN 3.1,CAN32,,,,
CAN 3.2,CAN32,,,,
CHE 3.1,CHE31,,,,
CHN 3.1,CHN31,dd_meanCHN,0.0003,0.003,IndustryCodeMappingCHN.xml
DEU 3.1,DEU32,,,,
DEU 3.2,DEU32,,,,
DNK 3.1,NRD31,,,,
EMM 3.1,EMM31,,,,
ESP 3.1,ESP31,,,,
FIN 3.1,NRD31,,,,
FRA 3.1,FRA31,,,,
UK 3.1,UK31,,,,
UK 4.0,UK40,,,,
ILH 3.1,USIN31,,,,
IPC 3.1,USIN31,,,,
ITA 3.1,ITA31,,,,
JPN 3.1,JP32,,,,
JPN 3.2,JP32,,,,
KOR 3.1 A,KOR31,,,,
KOR 3.1 U,KOR31,,,,
LFE 4.0,LFE40,,,,
LNA 3.1,LFNA31,,,,
MEX 3.1,MEX31,,,,
NLD 3.1,BEL31,,,,
NOR 3.1,NRD31,,,,
PRT 3.1,ESP31,,,,
RUS 3.1,RUS31,,,,
SWE 3.1,NRD31,,,,
UNP 4.0,US40NP,,0.0008,0.007,
USA 3.1,US31,,,,
USA 4.0,US40Corp,dd_meanUS40,0.0008,0.007,IndustryCodeMappingUSA40.xml
USF 3.1,USBank31,,,,
USF 4.0,USBank40,,,,
ZAF 3.1,ZAF31,,,,
ZAF 3.2,ZAF32,,,,
UDS 4.0,,dd_meanUS40_DS,0.0007,0.007,IndustryCodeMappingUDS.xml
