"","Quant","Transform","Model","Year","Country"
"QuantTransform",0.00030411,0.000558583,"AUT 3.1",1,"AUT"
"QuantTransform.1",0.00117,0.000785818,"AUT 3.1",1,"AUT"
"QuantTransform.2",0.00156,0.000948275,"AUT 3.1",1,"AUT"
"QuantTransform.3",0.00195,0.001242032,"AUT 3.1",1,"AUT"
"QuantTransform.4",0.00235,0.001434907,"AUT 3.1",1,"AUT"
"QuantTransform.5",0.00274,0.001585674,"AUT 3.1",1,"AUT"
"QuantTransform.6",0.00316,0.001739394,"AUT 3.1",1,"AUT"
"QuantTransform.7",0.0036,0.00179279,"AUT 3.1",1,"AUT"
"QuantTransform.8",0.00406,0.001893545,"AUT 3.1",1,"AUT"
"QuantTransform.9",0.00457,0.002116911,"AUT 3.1",1,"AUT"
"QuantTransform.10",0.0051,0.002295793,"AUT 3.1",1,"AUT"
"QuantTransform.11",0.00568,0.002412614,"AUT 3.1",1,"AUT"
"QuantTransform.12",0.00629,0.002599715,"AUT 3.1",1,"AUT"
"QuantTransform.13",0.00697,0.00271048,"AUT 3.1",1,"AUT"
"QuantTransform.14",0.00767,0.002889788,"AUT 3.1",1,"AUT"
"QuantTransform.15",0.00849,0.003155908,"AUT 3.1",1,"AUT"
"QuantTransform.16",0.00932,0.003480028,"AUT 3.1",1,"AUT"
"QuantTransform.17",0.01026,0.003742642,"AUT 3.1",1,"AUT"
"QuantTransform.18",0.01125,0.004000087,"AUT 3.1",1,"AUT"
"QuantTransform.19",0.0123,0.004313654,"AUT 3.1",1,"AUT"
"QuantTransform.20",0.0134,0.004625689,"AUT 3.1",1,"AUT"
"QuantTransform.21",0.01461,0.005027359,"AUT 3.1",1,"AUT"
"QuantTransform.22",0.01583,0.005427172,"AUT 3.1",1,"AUT"
"QuantTransform.23",0.01719,0.005798739,"AUT 3.1",1,"AUT"
"QuantTransform.24",0.01862,0.006154887,"AUT 3.1",1,"AUT"
"QuantTransform.25",0.02017,0.006858014,"AUT 3.1",1,"AUT"
"QuantTransform.26",0.02186,0.007434914,"AUT 3.1",1,"AUT"
"QuantTransform.27",0.0236,0.007966772,"AUT 3.1",1,"AUT"
"QuantTransform.28",0.02542,0.008840452,"AUT 3.1",1,"AUT"
"QuantTransform.29",0.02737,0.009617878,"AUT 3.1",1,"AUT"
"QuantTransform.30",0.0295,0.010985039,"AUT 3.1",1,"AUT"
"QuantTransform.31",0.03174,0.011804446,"AUT 3.1",1,"AUT"
"QuantTransform.32",0.03403,0.012413919,"AUT 3.1",1,"AUT"
"QuantTransform.33",0.0366,0.013011572,"AUT 3.1",1,"AUT"
"QuantTransform.34",0.03953,0.01475235,"AUT 3.1",1,"AUT"
"QuantTransform.35",0.04264,0.016142176,"AUT 3.1",1,"AUT"
"QuantTransform.36",0.0459,0.017563202,"AUT 3.1",1,"AUT"
"QuantTransform.37",0.04943,0.018426897,"AUT 3.1",1,"AUT"
"QuantTransform.38",0.05325,0.020893497,"AUT 3.1",1,"AUT"
"QuantTransform.39",0.05748,0.023150038,"AUT 3.1",1,"AUT"
"QuantTransform.40",0.06201,0.025333743,"AUT 3.1",1,"AUT"
"QuantTransform.41",0.06726,0.027828419,"AUT 3.1",1,"AUT"
"QuantTransform.42",0.07339,0.032011263,"AUT 3.1",1,"AUT"
"QuantTransform.43",0.08018,0.036383568,"AUT 3.1",1,"AUT"
"QuantTransform.44",0.08868,0.037601269,"AUT 3.1",1,"AUT"
"QuantTransform.45",0.09856,0.04421974,"AUT 3.1",1,"AUT"
"QuantTransform.46",0.1105,0.05996551,"AUT 3.1",1,"AUT"
"QuantTransform.47",0.12675,0.077693306,"AUT 3.1",1,"AUT"
"QuantTransform.48",0.15062,0.104452825,"AUT 3.1",1,"AUT"
"QuantTransform.49",0.19243,0.143416708,"AUT 3.1",1,"AUT"
"QuantTransform1",0.00096537,0.006244,"AUT 3.1",5,"AUT"
"QuantTransform.110",0.00387,0.00672,"AUT 3.1",5,"AUT"
"QuantTransform.210",0.00506,0.00743,"AUT 3.1",5,"AUT"
"QuantTransform.310",0.00616,0.008137,"AUT 3.1",5,"AUT"
"QuantTransform.410",0.00727,0.009223,"AUT 3.1",5,"AUT"
"QuantTransform.51",0.0084,0.009506,"AUT 3.1",5,"AUT"
"QuantTransform.61",0.00956,0.009645,"AUT 3.1",5,"AUT"
"QuantTransform.71",0.01076,0.010554,"AUT 3.1",5,"AUT"
"QuantTransform.81",0.01203,0.011542,"AUT 3.1",5,"AUT"
"QuantTransform.91",0.01337,0.01257,"AUT 3.1",5,"AUT"
"QuantTransform.101",0.01482,0.013134,"AUT 3.1",5,"AUT"
"QuantTransform.111",0.0163,0.014882,"AUT 3.1",5,"AUT"
"QuantTransform.121",0.01784,0.016072,"AUT 3.1",5,"AUT"
"QuantTransform.131",0.01959,0.017541,"AUT 3.1",5,"AUT"
"QuantTransform.141",0.02145,0.019049,"AUT 3.1",5,"AUT"
"QuantTransform.151",0.02333,0.020636,"AUT 3.1",5,"AUT"
"QuantTransform.161",0.0254,0.022287,"AUT 3.1",5,"AUT"
"QuantTransform.171",0.02752,0.023981,"AUT 3.1",5,"AUT"
"QuantTransform.181",0.02988,0.02583,"AUT 3.1",5,"AUT"
"QuantTransform.191",0.03229,0.027478,"AUT 3.1",5,"AUT"
"QuantTransform.201",0.03507,0.029373,"AUT 3.1",5,"AUT"
"QuantTransform.211",0.03782,0.03178,"AUT 3.1",5,"AUT"
"QuantTransform.221",0.04066,0.033949,"AUT 3.1",5,"AUT"
"QuantTransform.231",0.04371,0.035012,"AUT 3.1",5,"AUT"
"QuantTransform.241",0.04693,0.036971,"AUT 3.1",5,"AUT"
"QuantTransform.251",0.05034,0.040304,"AUT 3.1",5,"AUT"
"QuantTransform.261",0.05408,0.043135,"AUT 3.1",5,"AUT"
"QuantTransform.271",0.05795,0.045438,"AUT 3.1",5,"AUT"
"QuantTransform.281",0.06182,0.048545,"AUT 3.1",5,"AUT"
"QuantTransform.291",0.06604,0.051112,"AUT 3.1",5,"AUT"
"QuantTransform.301",0.07065,0.055937,"AUT 3.1",5,"AUT"
"QuantTransform.311",0.07535,0.058793,"AUT 3.1",5,"AUT"
"QuantTransform.321",0.08019,0.062193,"AUT 3.1",5,"AUT"
"QuantTransform.331",0.08538,0.067131,"AUT 3.1",5,"AUT"
"QuantTransform.341",0.09114,0.06922,"AUT 3.1",5,"AUT"
